                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.31523,                 0.4743,                0.21632,                0.91829,                0.98975,                0.96183,                0.97781,                0.97169,                0.98975,                0.96183,                0.97781,                0.96888,                0.15148,                0.49392,                0.14233,                0.95106,               0.005842,               0.005842,               0.005842
                     44,                0.31225,                0.47763,                0.21276,                0.91436,                0.98983,                0.96074,                0.97619,                0.96875,                0.98983,                0.96074,                0.97619,                0.96603,                0.14973,                0.46987,                0.13592,                0.95555,               0.005743,               0.005743,               0.005743
                     45,                0.31471,                0.47642,                0.21538,                0.91733,                0.98772,                0.96489,                 0.9783,                0.97277,                0.98772,                0.96489,                 0.9783,                0.96853,                0.14333,                0.47703,                 0.1298,                0.94605,               0.005644,               0.005644,               0.005644
                     46,                0.30346,                0.47142,                0.21055,                0.90916,                0.98464,                0.96183,                0.97782,                0.97229,                0.98464,                0.96183,                0.97782,                0.96888,                0.14813,                0.44297,                0.13326,                0.95049,               0.005545,               0.005545,               0.005545
                     47,                0.30618,                0.47866,                0.21429,                0.91185,                0.98959,                0.96074,                0.97887,                0.97279,                0.98959,                0.96074,                0.97887,                0.96887,                0.14798,                0.46023,                0.13911,                0.95607,               0.005446,               0.005446,               0.005446
                     48,                0.30799,                0.47299,                0.21149,                0.91813,                0.98335,                0.96619,                0.98072,                0.97409,                0.98335,                0.96619,                0.98072,                0.97033,                0.14542,                0.43341,                0.13135,                0.95405,               0.005347,               0.005347,               0.005347
                     49,                0.30849,                0.47018,                0.20955,                0.91587,                 0.9888,                0.96265,                0.98037,                0.97452,                 0.9888,                0.96265,                0.98037,                0.97065,                0.13919,                0.43732,                0.12773,                0.94528,               0.005248,               0.005248,               0.005248
                     50,                0.30567,                0.45731,                  0.205,                0.91283,                0.98321,                 0.9651,                 0.9804,                0.97324,                0.98321,                 0.9651,                 0.9804,                0.96899,                0.14153,                0.42365,                 0.1258,                0.95304,               0.005149,               0.005149,               0.005149
                     51,                0.30867,                0.46148,                0.20835,                0.91336,                0.98992,                0.96394,                0.98048,                0.97505,                0.98992,                0.96394,                0.98048,                0.97124,                 0.1395,                0.46427,                0.13152,                0.94553,                0.00505,                0.00505,                0.00505
                     52,                0.30849,                0.49338,                0.20918,                0.91138,                0.98942,                0.95965,                0.98062,                0.97362,                0.98863,                0.95856,                0.98001,                0.97039,                0.13922,                0.48071,                0.12851,                0.94483,               0.004951,               0.004951,               0.004951
                     53,                0.30519,                0.45509,                0.20652,                0.91128,                 0.9899,                0.96158,                0.98078,                0.97442,                 0.9899,                0.96158,                0.98078,                0.97095,                0.14043,                0.41322,                0.13153,                 0.9461,               0.004852,               0.004852,               0.004852
                     54,                0.30264,                0.46836,                0.20609,                0.91342,                0.98992,                  0.964,                0.98036,                0.97323,                0.98992,                  0.964,                0.98036,                0.97012,                0.14523,                0.46234,                 0.1299,                0.95233,               0.004753,               0.004753,               0.004753
                     55,                0.29864,                0.45694,                0.20105,                0.91068,                0.98934,                0.96619,                0.98069,                0.97358,                0.98934,                0.96619,                0.98069,                0.97087,                0.13811,                0.43241,                0.12882,                0.94973,               0.004654,               0.004654,               0.004654
                     56,                0.29665,                0.46831,                0.20075,                  0.906,                0.98775,                0.96684,                0.98042,                0.97386,                0.98775,                0.96684,                0.98042,                0.97041,                0.13247,                0.43153,                0.12324,                0.93999,               0.004555,               0.004555,               0.004555
                     57,                0.30077,                 0.4709,                0.20428,                0.90918,                0.98989,                0.96067,                0.98054,                0.97479,                0.98989,                0.96067,                0.98054,                 0.9709,                0.13265,                0.42015,                0.12294,                0.94384,               0.004456,               0.004456,               0.004456
